WKT,id,start_date,end_date,description,user_id,created,last_modified,source_id,type,night_bombing,map_sheet_id
"POINT (-0.136634021382118 51.5242716913248)","4542",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.16666876315553 51.5160224974764)","4541",1940/10/10 23:00:00,1940/10/11 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.167128432046731 51.5144522131239)","4540",1940/10/10 23:00:00,1940/10/11 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.166800314641182 51.5127458935027)","4539",1940/10/10 23:00:00,1940/10/11 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.142131602396246 51.5354011828104)","4538",1940/10/10 23:00:00,1940/10/11 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.147819854804127 51.512571420266)","4537",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.149474976172873 51.5145461878674)","4536",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.151539648415231 51.5149808452455)","4535",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.152453518980288 51.5156757217156)","4534",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.152938209708497 51.5147245004631)","4533",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.155696582126737 51.515170006492)","4532",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.158702747698355 51.5156193374998)","4531",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.160063922050249 51.5162902441724)","4530",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.161523228304421 51.5157563730139)","4529",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.163655028389241 51.5157588374568)","4528",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.165684008398544 51.5158524474461)","4527",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.189080721146042 51.5159685636908)","4526",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.152361297498347 51.5326552592688)","4525",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.153157804989782 51.5301314821474)","4524",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.15436563122393 51.5309237599795)","4523",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.1630012013421 51.5369361379469)","4522",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.173016945087366 51.5234057314885)","4521",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.174608931819688 51.5232758629448)","4520",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
"POINT (-0.174145615073163 51.5237016815865)","4519",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:41,2012/10/14 20:06:41,"4",XB,false,
