WKT,id,start_date,end_date,description,user_id,created,last_modified,source_id,type,night_bombing,map_sheet_id
"POINT (-0.067984 51.520224)","584",1940/09/07 13:25:00,1940/09/07 13:25:00,"Glengall Wharf, Millwall E14, London, UK ; Thames Oil Wharf-A range of buildings of 1, 2 and 3 floors covering an area of about 650x 450 feet used as machine rooms, workshops, sorting rooms, offices dwelling and store. About 2/3 and contents, some stock","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.062227 51.495011)","172",1940/09/06 18:45:00,1940/09/06 18:45:00,"348 St. James' Road SE1, London, UK ;","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.12777 51.500302)","171",1940/09/06 18:45:00,1940/09/06 18:45:00,"709 Old Kent Road SE1, London, UK ; 30x20 one floor building.","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.064692 51.483249)","170",1940/09/06 18:44:00,1940/09/06 18:44:00,"613 Old Kent Road Se15, London, UK ; Theatre 4 seats slightly damaged 4x2 roof","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","583",1940/09/07 13:25:00,1940/09/07 13:25:00,"104 West Ferry Road, Millwall E14, London, UK ; Millwall Ingot Metals Ltd-A range of buildings of 1, 2 and 3 floors covering an area of about 650x 450 feet used as machine rooms, workshops, sorting rooms, offices dwelling and store. About 2/3 and content","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","582",1940/09/07 13:25:00,1940/09/07 13:25:00,"102 West Ferry Road, Millwall E14, London, UK ; General Merchants-A range of buildings of 1, 2 and 3 floors covering an area of about 650x 450 feet used as machine rooms, workshops, sorting rooms, offices dwelling and store. About 2/3 and contents, some","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","581",1940/09/07 13:25:00,1940/09/07 13:25:00,"102 West Ferry Road, Millwall E14, London, UK ; Wharfingers-A range of buildings of 1, 2 and 3 floors covering an area of about 650x 450 feet used as machine rooms, workshops, sorting rooms, offices dwelling and store. About 2/3 and contents, some stock","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.007707 51.464288)","580",1940/09/07 13:25:00,1940/09/07 13:25:00,"19 Boyne Road, Lewisham, SE13, London, UK ; 2x2 roadway damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",UNKNOWN,false,
"POINT (-0.040741 51.517542)","579",1940/09/07 13:20:00,1940/09/07 13:20:00,"Durham Row, Tower Hamlets London E1 ONP, London, UK ; 4x3 roof damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.009059 51.46779)","578",1940/09/07 13:20:00,1940/09/07 13:20:00,"Lewisham Hill, Lewisham SE13, London, UK ; South Met Gas Company: Gas destroyed and carriage way (20x20)","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.010174 51.468321)","577",1940/09/07 13:20:00,1940/09/07 13:20:00,"Princes Rise, Lewisham, SE13, London, UK ; 3x2 carriage way damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.020597 51.520587)","576",1940/09/07 13:16:00,1940/09/07 13:16:00,"40 and 42 Blackthorn Street Bow, E3, London, UK ; 2 private houses damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.046676 51.493041)","575",1940/09/07 13:15:00,1940/09/07 13:15:00,"Canada yard, Surrey, Commercial Docks, SE16, London, UK ; """" Timber yard 1 1/2 acre damaged.","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",OIL,false,
"POINT (-0.079302 51.524689)","574",1940/09/07 13:14:00,1940/09/07 13:14:00,"50 Ordnance Crescent, Greenwich SE10, London, UK ; Back room on 1st floor and contents damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.029598 51.527247)","573",1940/09/07 13:13:00,1940/09/07 13:13:00,"Corborn Street, London, E3 2AB, London, UK ; 2x1 paving damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","572",1940/09/07 13:13:00,1940/09/07 13:13:00,"Burrage Road SE18, London, UK ; Suspected unexploded bomb","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",UNKNOWN,false,
"POINT (-0.079302 51.524689)","571",1940/09/07 13:13:00,1940/09/07 13:13:00,"Parry Place Woolwich Se18, London, UK ; Suspected unexploded bomb","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",UNKNOWN,false,
"POINT (-0.079302 51.524689)","570",1940/09/07 13:13:00,1940/09/07 13:13:00,"Belford Grove, Woolwich, SE18, London, UK ; Suspected unexploded bomb","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",UNKNOWN,false,
"POINT (-0.046593 51.552984)","569",1940/09/07 13:10:00,1940/09/07 13:10:00,"Glenarm Road, Clapton, E5, London, UK ; Roadway and 4 private houses damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.041397 51.512789)","568",1940/09/07 13:10:00,1940/09/07 13:10:00,"Commercial RD, E, London, UK ; Zenith Garage-  Range of buildings of one and two floors about 90x 70ft, used as garage, offices and store. About 1/2 of contents severely damaged. Most part of roofs off.","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.137828 51.492868)","602",1940/09/07 14:40:00,1940/09/07 14:40:00,"121 Vauxhall Bridge Road, Pimlico SW1, London, UK ; 3x2 of flooring damage front room and 3rd floor also damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (0.018049 51.488482)","567",1940/09/07 13:10:00,1940/09/07 13:10:00,"Hornlane East, Greenwich SE10, London, UK ; Southern rail. 30 ft roadway damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.008108 51.494062)","566",1940/09/07 13:08:00,1940/09/07 13:08:00,"Manchester Road, Cubitt Town E14, London, UK ; Builders and Contractors- Some stock in yard and motor lorry damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.00783 51.489154)","565",1940/09/07 13:07:00,1940/09/07 13:07:00,"34, Glengarnock Avenue, Cubbit town E14, London, UK ; A timber shed building about 12x 10 feet  used as store and contents severely damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","564",1940/09/07 13:07:00,1940/09/07 13:07:00,"45, Glengarnock Avenue, Cubitt town E14, London, UK ; A house of 6 rooms, upper part and contents severely damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","563",1940/09/07 13:07:00,1940/09/07 13:07:00,"55, Glengarnock Avenue, Cubitt town E14, London, UK ; A house of 6 rooms, upper part and contents severely damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","562",1940/09/07 13:05:00,1940/09/07 13:05:00,"86 Ernest Street, Stepney E1, London, UK ; Front room on 1st floor and contents damaged, roof part off (4x3)","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.011765 51.465506)","561",1940/09/07 13:05:00,1940/09/07 13:05:00,"Silk Mills Path, Lewisham SE13, London, UK ; Broadway Press, Ltd. Printers. Machine room, storage, roof damaged 200x150","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.12777 51.500302)","560",1940/09/07 13:03:00,1940/09/07 13:03:00,"Eaton Place E9, London, UK ; Front room on 1st floor and contents damaged by fire. 4x2 ft of roof by breakage, ceiling and contents under by water.","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.022201 51.518756)","559",1940/09/07 13:01:00,1940/09/07 13:01:00,"Furze Street E3, London, UK ; 2x1 ft of tarmac damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.016151 51.457257)","558",1940/09/07 13:01:00,1940/09/07 13:01:00,"Wearside Road, Lewisam, SE13, London, UK ; IB on enclosed ground","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","557",1940/09/07 13:00:00,1940/09/07 13:00:00,"Pier Road, North Woolwich, E16, London, UK ; London and North Eastern railway. 60x20x10 stack of coal 6 railway trucks and content severely damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.038174 51.475461)","531",1940/09/07 12:46:00,1940/09/07 12:46:00,"276 Newcros Road, Newcross SE14, London, UK ; 2x2 damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.12777 51.500302)","197",1940/09/06 23:57:00,1940/09/06 23:57:00,"28 Ringstead Road, Catford, SE6, London, UK ; 2x2 roadway damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",UNKNOWN,false,
"POINT (-0.067694 51.492333)","169",1940/09/06 18:40:00,1940/09/06 18:40:00,"124 Southwark Park Road, SE16, London, UK ; back room on 1st floor and contents slightly damaged.","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.12777 51.500302)","168",1940/09/06 18:40:00,1940/09/06 18:40:00,"127 Minard Road, Catford, SE6, London, UK ; Front room on 1st floor severely damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.12777 51.500302)","167",1940/09/06 18:34:00,1940/09/06 18:34:00,"Ivy Lane, Brockley, SE4, London, UK ; Slightly damaged houses.","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.079302 51.524689)","556",1940/09/07 13:00:00,1940/09/07 13:00:00,"86 Ernest Street, Stepney E1, London, UK ; Back room on 2nd floor and contents damaged. 3x4 room damaged.","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.04911 51.525081)","555",1940/09/07 13:00:00,1940/09/07 13:00:00,"Bancroft Rd, Tower Hamlets, London E1, London, UK ; 2 x 1ft of tarmac damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
